"option_id","option_name","option_value","autoload"
"1","siteurl","http://137.184.5.121/trabajo","yes"
"2","home","http://137.184.5.121/trabajo","yes"
"3","blogname","proyecto","yes"
"4","blogdescription",,"yes"
"5","users_can_register","0","yes"
"6","admin_email","2330105@upv.edu.mx","yes"
"7","start_of_week","1","yes"
"8","use_balanceTags","0","yes"
"9","use_smilies","1","yes"
"10","require_name_email","1","yes"
"11","comments_notify","1","yes"
"12","posts_per_rss","10","yes"
"13","rss_use_excerpt","0","yes"
"14","mailserver_url","mail.example.com","yes"
"15","mailserver_login","login@example.com","yes"
"16","mailserver_pass","password","yes"
"17","mailserver_port","110","yes"
"18","default_category","1","yes"
"19","default_comment_status","open","yes"
"20","default_ping_status","open","yes"
"21","default_pingback_flag","1","yes"
"22","posts_per_page","10","yes"
"23","date_format","F j, Y","yes"
"24","time_format","g:i a","yes"
"25","links_updated_date_format","F j, Y g:i a","yes"
"26","comment_moderation","0","yes"
"27","moderation_notify","1","yes"
"28","permalink_structure","/index.php/%year%/%monthnum%/%day%/%postname%/","yes"
